"date","min","mean","max","sd","cov","count","region"
"1998-01-15",0.17527377605438232,0.6492785111799104,1.0,0.17445308634473075,0.2686876022243574,715,"N cold"
"1998-02-15",0.16965478658676147,0.7276138224673024,1.0,0.22058197785174477,0.3031580366405935,903,"N cold"
"1998-03-15",0.1474623680114746,0.7541013554233685,1.0,0.24280265636677226,0.3219761569457168,933,"N cold"
"1998-04-15",0.11357242614030838,0.7471753077347937,1.0,0.268715809753149,0.35964225125133337,933,"N cold"
"1998-05-15",0.07430443912744522,0.6254064637282174,1.0,0.3194100185246216,0.5107238844647238,934,"N cold"
"1998-06-15",0.03928447142243385,0.35854435507706095,1.0,0.3201827989041012,0.8930075020572703,935,"N cold"
"1998-07-15",0.02823728322982788,0.25344480907257905,1.0,0.3220705083893706,1.2707717690802625,936,"N cold"
"1998-08-15",0.03836064040660858,0.281741237415112,1.0,0.3084657816274774,1.094854925951042,936,"N cold"
"1998-09-15",0.05658118799328804,0.40975731288472905,1.0,0.2900641468932971,0.7078925446167609,936,"N cold"
"1998-10-15",0.10749192535877228,0.5677449991926546,1.0,0.26311645015926355,0.4634412465691828,936,"N cold"
"1998-11-15",0.14447280764579773,0.5704910176162106,1.0,0.19262057088939685,0.3376399714306799,804,"N cold"
"1998-12-15",0.1709982007741928,0.5253747099833974,1.0,0.16427810601350729,0.31268750263730566,517,"N cold"
"1999-01-15",0.16986680030822754,0.6454397569169524,1.0,0.1761580554631877,0.27292718425749785,715,"N cold"
"1999-02-15",0.16687659919261932,0.7168649331246756,1.0,0.22253062899021514,0.31042197589474374,903,"N cold"
"1999-03-15",0.1438731700181961,0.7436593651356278,1.0,0.24280672835868833,0.32650261630794564,933,"N cold"
"1999-04-15",0.07251857221126556,0.7340280503385953,1.0,0.2719702515354596,0.370517518247435,933,"N cold"
"1999-05-15",0.07912398129701614,0.6034458864647785,1.0,0.32356072633255406,0.5361884695711476,934,"N cold"
"1999-06-15",0.04825420305132866,0.3672002267510816,1.0,0.3318358789408868,0.9036919227335671,935,"N cold"
"1999-07-15",0.02452031336724758,0.2647956949399989,1.0,0.3250108578333949,1.227402348467336,936,"N cold"
"1999-08-15",0.03561738133430481,0.2794551043970205,1.0,0.31579848479602896,1.1300508733860006,936,"N cold"
"1999-09-15",0.06495649367570877,0.3623400906928706,1.0,0.3006713978896129,0.8298043898886978,936,"N cold"
"1999-10-15",0.089388906955719,0.5441927510735572,1.0,0.27673592706337097,0.5085255665707411,936,"N cold"
"1999-11-15",0.0986681878566742,0.5553232370620942,1.0,0.20633787751779387,0.37156355748664976,804,"N cold"
"1999-12-15",0.1578035205602646,0.5174039636001827,1.0,0.16632984248754307,0.32146998126993925,517,"N cold"
"2000-01-15",0.15539784729480743,0.6325810969292688,1.0,0.17619087454700255,0.27852693575935783,715,"N cold"
"2000-02-15",0.15466149151325226,0.700508257376163,1.0,0.22433415530372275,0.3202448407160724,933,"N cold"
"2000-03-15",0.1226273626089096,0.7232726927994382,1.0,0.2482646918763586,0.34325185279074516,933,"N cold"
"2000-04-15",0.10301168262958527,0.7099988984157667,1.0,0.27969957835343306,0.3939436793177169,933,"N cold"
